t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
1.000000000000000000e+01, 5.000000000000000711e+01, 1.045957394382982386e+02, -8.787889675264548828e+01, 3.328315731434725677e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.089999999999999858e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.100000000000000000e+01, 5.000000000000000000e+01, 1.067691574006524746e+02, -8.877375868867473230e+01, 3.200460128802225768e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.042000000000000171e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.200000000000000000e+01, 5.000000000000000000e+01, 1.045957394382982386e+02, -8.152262453188647839e+01, 2.692688509358824334e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.089999999999999858e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.300000000000000000e+01, 5.000000000000000000e+01, 1.045957394382982386e+02, -7.890108237182627704e+01, 2.430534293352803843e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.089999999999999858e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.400000000000000000e+01, 5.000000000000000000e+01, 1.051843734697691843e+02, -7.765472772763030207e+01, 2.247035425786111773e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.076999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.500000000000000000e+01, 5.000000000000000000e+01, 1.047315780609453668e+02, -7.460555592823361337e+01, 1.987397786728825011e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.087000000000000099e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.600000000000000000e+01, 5.000000000000000000e+01, 1.049126962244748995e+02, -7.301527232637732823e+01, 1.810257610190242517e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.082999999999999829e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.700000000000000000e+01, 4.999999999999999289e+01, 1.050485348471220419e+02, -7.151129772902848458e+01, 1.646276288190643555e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.080000000000000071e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.800000000000000000e+01, 4.999999999999999289e+01, 1.053202120924163268e+02, -7.042542402757095488e+01, 1.510521193515462279e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.073999999999999844e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.900000000000000000e+01, 5.000000000000000000e+01, 1.031467941300620765e+02, -6.481957715573358314e+01, 1.167278302567150838e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.121999999999999886e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.000000000000000000e+01, 5.000000000000000000e+01, 1.031467941300620765e+02, -6.368314073835088607e+01, 1.053634660828881131e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.121999999999999886e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.100000000000000000e+01, 4.999999999999999289e+01, 1.050485348471220419e+02, -6.627567741593540518e+01, 1.122714256881335793e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.080000000000000071e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
