tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,-6.499999999999950262e-03
2.000000000000000000e+00,1.000000000000000000e+00,2.999999999999935878e-03
3.000000000000000000e+00,1.000000000000000000e+00,2.249999999999907456e-03
4.000000000000000000e+00,1.000000000000000000e+00,2.249999999999907456e-03
5.000000000000000000e+00,1.000000000000000000e+00,2.999999999999935878e-03
6.000000000000000000e+00,1.000000000000000000e+00,-4.250000000000042806e-03
7.000000000000000000e+00,1.000000000000000000e+00,5.499999999999971925e-03
8.000000000000000000e+00,1.000000000000000000e+00,-4.250000000000042806e-03
9.000000000000000000e+00,1.000000000000000000e+00,6.250000000000000347e-03
1.000000000000000000e+01,1.000000000000000000e+00,6.250000000000000347e-03
1.100000000000000000e+01,1.000000000000000000e+00,1.500000000000056843e-03
1.200000000000000000e+01,1.000000000000000000e+00,1.124999999999989377e-02
1.300000000000000000e+01,1.000000000000000000e+00,1.675000000000004263e-02
1.400000000000000000e+01,1.000000000000000000e+00,1.050000000000004229e-02
1.500000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
1.600000000000000000e+01,1.000000000000000000e+00,2.500000000000000139e-02
1.700000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
1.800000000000000000e+01,1.000000000000000000e+00,2.999999999999935878e-03
1.900000000000000000e+01,1.000000000000000000e+00,1.924999999999989914e-02
2.000000000000000000e+01,1.000000000000000000e+00,1.999999999999992756e-02
2.100000000000000000e+01,1.000000000000000000e+00,1.999999999999992756e-02
2.200000000000000000e+01,1.000000000000000000e+00,2.249999999999996447e-02
2.300000000000000000e+01,1.000000000000000000e+00,2.074999999999995598e-02
2.400000000000000000e+01,1.000000000000000000e+00,2.575000000000002981e-02
2.500000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
2.600000000000000000e+01,1.000000000000000000e+00,2.899999999999991473e-02
2.700000000000000000e+01,1.000000000000000000e+00,2.899999999999991473e-02
2.800000000000000000e+01,1.000000000000000000e+00,2.575000000000002981e-02
2.900000000000000000e+01,1.000000000000000000e+00,2.974999999999994316e-02
3.000000000000000000e+01,1.000000000000000000e+00,3.049999999999997158e-02
3.100000000000000000e+01,1.000000000000000000e+00,3.624999999999989342e-02
3.200000000000000000e+01,1.000000000000000000e+00,3.624999999999989342e-02
3.300000000000000000e+01,1.000000000000000000e+00,3.624999999999989342e-02
3.400000000000000000e+01,1.000000000000000000e+00,3.699999999999992184e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.974999999999994316e-02
3.600000000000000000e+01,1.000000000000000000e+00,4.350000000000005251e-02
3.700000000000000000e+01,1.000000000000000000e+00,3.849999999999997868e-02
