t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
0.000000000000000000e+00, 5.000000000000000000e+01, 9.730573335623502373e+01, -1.351379950679652779e+02, 8.783226171173025421e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.251000000000000156e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.000000000000000000e+00, 5.000000000000000000e+01, 9.513231539388078772e+01, -1.224516029899730398e+02, 7.731928759609225210e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.298999999999999844e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.000000000000000000e+00, 5.000000000000000000e+01, 9.495119723035125503e+01, -1.145793645733858881e+02, 6.962816734303463306e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.303000000000000114e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.000000000000000000e+00, 4.999999999999999289e+01, 9.440784273976269958e+01, -1.067667105420075870e+02, 6.235886780224488035e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.314999999999999858e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.000000000000000000e+00, 5.000000000000000711e+01, 9.409088595358603868e+01, -1.000925333129398211e+02, 5.600164735935378957e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.321999999999999886e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.000000000000000000e+00, 4.999999999999999289e+01, 9.395504733093889627e+01, -9.438188411080344054e+01, 5.042683677986453716e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.325000000000000000e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.000000000000000000e+00, 5.000000000000000711e+01, 9.395504733093889627e+01, -8.947243847097456637e+01, 4.551739114003567721e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.325000000000000000e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.000000000000000000e+00, 5.000000000000000000e+01, 9.363809054476223537e+01, -8.443791027499028701e+01, 4.079981973022805164e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.332000000000000028e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
8.000000000000000000e+00, 5.000000000000000000e+01, 9.232498385917320149e+01, -7.796735758833123953e+01, 3.564237372915803803e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.360999999999999943e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
9.000000000000000000e+00, 5.000000000000000000e+01, 9.381920870829175385e+01, -7.734026993362861901e+01, 3.352106122533686516e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.328000000000000114e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.000000000000000000e+01, 4.999999999999999289e+01, 9.160051120505512756e+01, -6.985534581556999001e+01, 2.825483461051485534e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.376999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.100000000000000000e+01, 5.000000000000000000e+01, 9.132883395976084273e+01, -6.658761282559112260e+01, 2.525877886583027987e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.382999999999999829e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.200000000000000000e+01, 5.000000000000000711e+01, 9.191746799123178846e+01, -6.524843376131241257e+01, 2.333096577008063122e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.369999999999999929e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.300000000000000000e+01, 5.000000000000000000e+01, 9.015156589681895127e+01, -5.961710252308408542e+01, 1.946553662626513059e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.408999999999999986e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.400000000000000000e+01, 5.000000000000000000e+01, 9.001572727417180886e+01, -5.746352850133040135e+01, 1.744780122715859605e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.412000000000000099e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.500000000000000000e+01, 5.000000000000000000e+01, 9.001572727417180886e+01, -5.576484904552368960e+01, 1.574912177135188074e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.412000000000000099e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.600000000000000000e+01, 5.000000000000000000e+01, 8.915541599740659251e+01, -5.259468473144258382e+01, 1.343926873403598776e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.430999999999999872e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.700000000000000000e+01, 5.000000000000000000e+01, 8.942709324270087734e+01, -5.180317175354399950e+01, 1.237607851084312394e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.425000000000000000e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.800000000000000000e+01, 5.000000000000000000e+01, 8.942709324270087734e+01, -5.059826403846202680e+01, 1.117117079576114769e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.425000000000000000e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.900000000000000000e+01, 5.000000000000000000e+01, 8.752535252564089774e+01, -4.589233133058402103e+01, 8.366978804943123293e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.467000000000000171e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.000000000000000000e+01, 5.000000000000000000e+01, 8.738951390299376953e+01, -4.481928842646007638e+01, 7.429774523466307734e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.469999999999999929e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.100000000000000000e+01, 5.000000000000000000e+01, 8.693671849416996622e+01, -4.323443430615700578e+01, 6.297715811987038670e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.480000000000000071e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.200000000000000000e+01, 5.000000000000000000e+01, 8.707255711681710864e+01, -4.287975487741282876e+01, 5.807197760595721014e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.476999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.300000000000000000e+01, 5.000000000000000000e+01, 8.680087987152282381e+01, -4.179747431504493704e+01, 4.996594443522115014e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.482999999999999829e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.400000000000000000e+01, 5.000000000000000000e+01, 8.562361180858093235e+01, -3.907109699420224302e+01, 3.447485185621309789e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.508999999999999986e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.500000000000000000e+01, 5.000000000000000000e+01, 8.725367528034662712e+01, -4.183688499623211499e+01, 4.583209715885487867e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.473000000000000043e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.600000000000000000e+01, 5.000000000000000000e+01, 8.521609594063951931e+01, -3.751388935640131450e+01, 2.297793415761797853e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.517999999999999972e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.700000000000000000e+01, 5.000000000000000000e+01, 8.621224584005187808e+01, -3.918549809706744469e+01, 2.973252257015568834e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.496000000000000085e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.800000000000000000e+01, 5.000000000000000000e+01, 8.575945043122808897e+01, -3.803452115818148371e+01, 2.275070726953395184e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.505999999999999872e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.900000000000000000e+01, 5.000000000000000000e+01, 8.417466650034477027e+01, -3.479774849600288178e+01, 6.230819956581139518e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.541000000000000014e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.000000000000000000e+01, 5.000000000000000000e+01, 8.575945043122808897e+01, -3.775236339941314867e+01, 1.992912968185060807e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.505999999999999872e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.100000000000000000e+01, 5.000000000000000000e+01, 8.331435522357953971e+01, -3.290619644990736248e+01, -4.081587736721778992e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.560000000000000142e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.200000000000000000e+01, 4.999999999999999289e+01, 8.272572119210860819e+01, -3.182597393658792484e+01, -8.997472555206834643e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.573000000000000043e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.300000000000000000e+01, 5.000000000000000000e+01, 8.476330053181571600e+01, -3.579035579315774385e+01, 1.027055261342024517e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.528000000000000114e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.400000000000000000e+01, 5.000000000000000000e+01, 8.200124853799052005e+01, -3.043516726178693688e+01, -1.566081276203583617e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.589000000000000057e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.500000000000000000e+01, 5.000000000000000000e+01, 8.213708716063766246e+01, -3.084608977820645492e+01, -1.290997382431208873e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.585999999999999943e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.600000000000000000e+01, 5.000000000000000000e+01, 8.272572119210860819e+01, -3.209173838831611647e+01, -6.339828037924906123e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.573000000000000043e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
