tm,MVm,PVm
3.600000000000000000e+01,1.000000000000000000e+00,2.249999999999996447e-02
3.700000000000000000e+01,1.000000000000000000e+00,2.500000000000000139e-02
3.800000000000000000e+01,1.000000000000000000e+00,1.775000000000002270e-02
3.900000000000000000e+01,1.000000000000000000e+00,2.750000000000003483e-02
4.000000000000000000e+01,1.000000000000000000e+00,2.349999999999994454e-02
4.100000000000000000e+01,1.000000000000000000e+00,2.649999999999987782e-02
4.200000000000000000e+01,1.000000000000000000e+00,1.374999999999992895e-02
4.300000000000000000e+01,1.000000000000000000e+00,2.974999999999994316e-02
4.400000000000000000e+01,1.000000000000000000e+00,2.024999999999987921e-02
4.500000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
4.600000000000000000e+01,1.000000000000000000e+00,1.699999999999999428e-02
4.700000000000000000e+01,1.000000000000000000e+00,3.475000000000001699e-02
4.800000000000000000e+01,1.000000000000000000e+00,2.750000000000003483e-02
4.900000000000000000e+01,1.000000000000000000e+00,3.074999999999992323e-02
5.000000000000000000e+01,1.000000000000000000e+00,3.550000000000004541e-02
5.100000000000000000e+01,1.000000000000000000e+00,4.674999999999993744e-02
5.200000000000000000e+01,1.000000000000000000e+00,4.199999999999999567e-02
5.300000000000000000e+01,1.000000000000000000e+00,3.074999999999992323e-02
5.400000000000000000e+01,1.000000000000000000e+00,4.275000000000002409e-02
5.500000000000000000e+01,1.000000000000000000e+00,3.300000000000000849e-02
5.600000000000000000e+01,1.000000000000000000e+00,4.100000000000001560e-02
5.700000000000000000e+01,1.000000000000000000e+00,4.100000000000001560e-02
5.800000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
5.900000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
6.000000000000000000e+01,1.000000000000000000e+00,3.550000000000004541e-02
6.100000000000000000e+01,1.000000000000000000e+00,5.075000000000003120e-02
6.200000000000000000e+01,1.000000000000000000e+00,3.300000000000000849e-02
6.300000000000000000e+01,1.000000000000000000e+00,5.149999999999987921e-02
6.400000000000000000e+01,1.000000000000000000e+00,5.075000000000003120e-02
6.500000000000000000e+01,1.000000000000000000e+00,5.649999999999995304e-02
6.600000000000000000e+01,1.000000000000000000e+00,5.724999999999998146e-02
6.700000000000000000e+01,1.000000000000000000e+00,5.875000000000003830e-02
6.800000000000000000e+01,1.000000000000000000e+00,5.875000000000003830e-02
6.900000000000000000e+01,1.000000000000000000e+00,7.099999999999991041e-02
7.000000000000000000e+01,1.000000000000000000e+00,6.274999999999994471e-02
7.100000000000000000e+01,1.000000000000000000e+00,5.474999999999994454e-02
7.200000000000000000e+01,1.000000000000000000e+00,6.600000000000001699e-02
7.300000000000000000e+01,1.000000000000000000e+00,6.775000000000001854e-02
7.400000000000000000e+01,1.000000000000000000e+00,6.775000000000001854e-02
7.500000000000000000e+01,1.000000000000000000e+00,6.699999999999999012e-02
7.600000000000000000e+01,1.000000000000000000e+00,6.699999999999999012e-02
7.700000000000000000e+01,1.000000000000000000e+00,6.849999999999986655e-02
7.800000000000000000e+01,1.000000000000000000e+00,6.199999999999992323e-02
7.900000000000000000e+01,1.000000000000000000e+00,7.424999999999996880e-02
8.000000000000000000e+01,1.000000000000000000e+00,5.724999999999998146e-02
8.100000000000000000e+01,1.000000000000000000e+00,6.374999999999993172e-02
