t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
1.900000000000000000e+01, 5.000000000000000000e+01, 1.009733761677078263e+02, -6.345994994972230074e+01, 1.248657378201447621e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.169999999999999929e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.000000000000000000e+01, 5.000000000000000000e+01, 1.002036239727073479e+02, -6.077972164510953235e+01, 1.057609767240218268e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.187000000000000099e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.100000000000000000e+01, 5.000000000000000000e+01, 1.005205807588840230e+02, -6.035311145410354783e+01, 9.832530695219523054e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.180000000000000071e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.200000000000000000e+01, 5.000000000000000000e+01, 9.966026948211880665e+01, -5.775897340135966829e+01, 8.098703919240865190e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.198999999999999844e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.300000000000000000e+01, 5.000000000000000000e+01, 9.920747407329498913e+01, -5.610899379004521847e+01, 6.901519716750229350e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.208999999999999986e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.400000000000000000e+01, 5.000000000000000000e+01, 9.875467866447118581e+01, -5.457556939294434528e+01, 5.820890728473159470e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.219000000000000128e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.500000000000000000e+01, 5.000000000000000000e+01, 9.875467866447118581e+01, -5.400886030643995639e+01, 5.254181641968774130e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.219000000000000128e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.600000000000000000e+01, 5.000000000000000000e+01, 9.861884004182405761e+01, -5.323887247051609251e+01, 4.620032428692036675e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.221999999999999886e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.700000000000000000e+01, 5.000000000000000000e+01, 9.861884004182405761e+01, -5.278907630023624620e+01, 4.170236258412188590e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.221999999999999886e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.800000000000000000e+01, 5.000000000000000000e+01, 9.993194672741307727e+01, -5.488144349292739577e+01, 4.949496765514315832e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.192999999999999972e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.900000000000000000e+01, 5.000000000000000000e+01, 9.803020601035309767e+01, -5.078123925010410034e+01, 2.751033239751002668e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.235000000000000142e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.000000000000000000e+01, 5.000000000000000000e+01, 9.775852876505882705e+01, -4.999650012677115996e+01, 2.237971361712332907e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.241000000000000014e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.100000000000000000e+01, 5.000000000000000000e+01, 9.834716279652977278e+01, -5.089857612117898356e+01, 2.551413324649210779e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.228000000000000114e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.200000000000000000e+01, 5.000000000000000000e+01, 9.716989473358789553e+01, -4.841025624254803716e+01, 1.240361508960139858e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.253999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.300000000000000000e+01, 5.000000000000000000e+01, 9.803020601035309767e+01, -4.992636192555556107e+01, 1.896155915202462960e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.235000000000000142e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.400000000000000000e+01, 5.000000000000000000e+01, 9.848300141917691519e+01, -5.060326402163507709e+01, 2.120262602458161005e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.225000000000000000e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.500000000000000000e+01, 5.000000000000000000e+01, 9.599262667064600407e+01, -4.565854782703314640e+01, -3.340788436128587779e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.280000000000000071e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.600000000000000000e+01, 5.000000000000000000e+01, 9.658126070211693559e+01, -4.681103295816865995e+01, 2.297722560517225232e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.267000000000000171e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.700000000000000000e+01, 5.000000000000000000e+01, 9.572094942535171924e+01, -4.515179829338281792e+01, -5.691511319689032122e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.285999999999999943e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.800000000000000000e+01, 5.000000000000000000e+01, 9.599262667064600407e+01, -4.572411418566058217e+01, -2.685124849854216289e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.280000000000000071e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.900000000000000000e+01, 5.000000000000000000e+01, 9.495119723035125503e+01, -4.376878836254939387e+01, -1.182408867801859609e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.303000000000000114e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
