t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
0.000000000000000000e+00, 5.000000000000000000e+01, 1.520486982830326781e+02, -2.392942705622277515e+02, 1.372455722791950734e+02, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.541999999999999993e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.000000000000000000e+00, 5.000000000000000000e+01, 1.519128596603855215e+02, -2.256738919693403602e+02, 1.237610323089548388e+02, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.544999999999999929e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.000000000000000000e+00, 4.999999999999998579e+01, 1.526373323145036238e+02, -2.150032029996857545e+02, 1.123658706851821165e+02, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.528999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.000000000000000000e+00, 5.000000000000001421e+01, 1.529090095597978802e+02, -2.045804141848290101e+02, 1.016714046250311441e+02, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.523000000000000043e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.000000000000000000e+00, 5.000000000000000000e+01, 1.529090095597978802e+02, -1.946819104117161885e+02, 9.177290085191830826e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.523000000000000043e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.000000000000000000e+00, 4.999999999999998579e+01, 1.533618049686216978e+02, -1.866086107952076532e+02, 8.324680582658594119e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.513000000000000078e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.000000000000000000e+00, 5.000000000000001421e+01, 1.532259663459745695e+02, -1.782454330391325357e+02, 7.501946669315798033e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.516000000000000014e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.000000000000000000e+00, 5.000000000000000000e+01, 1.520486982830326781e+02, -1.687017832735598404e+02, 6.665308499052716229e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.541999999999999993e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
8.000000000000000000e+00, 5.000000000000000711e+01, 1.514600642515617324e+02, -1.610926259345859819e+02, 5.963256168302425664e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.555000000000000071e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
9.000000000000000000e+00, 5.000000000000000711e+01, 1.507355915974436584e+02, -1.539085189683595161e+02, 5.317292737091586474e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.571000000000000085e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.000000000000000000e+01, 5.000000000000000711e+01, 1.508714302200907866e+02, -1.489901723001122207e+02, 4.811874208002144115e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.567999999999999972e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.100000000000000000e+01, 4.999999999999999289e+01, 1.505997529747965018e+02, -1.437885330779845106e+02, 4.318878010318800165e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.574000000000000021e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.200000000000000000e+01, 5.000000000000000000e+01, 1.495583235345017670e+02, -1.376023010699950930e+02, 3.804397753549332606e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.597000000000000064e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.300000000000000000e+01, 5.000000000000000000e+01, 1.523203755283269629e+02, -1.391536199982535607e+02, 3.683324446992659773e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.535999999999999943e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.400000000000000000e+01, 5.000000000000000711e+01, 1.521845369056798063e+02, -1.353091642359078719e+02, 3.312462733022807271e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.539000000000000057e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.500000000000000000e+01, 4.999999999999999289e+01, 1.502827961886198409e+02, -1.284658914062844985e+02, 2.818309521766465053e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.581000000000000050e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.600000000000000000e+01, 4.999999999999998579e+01, 1.517770210377383648e+02, -1.285650226600647841e+02, 2.678800162232640858e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.548000000000000043e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.700000000000000000e+01, 5.000000000000000000e+01, 1.498752803206784279e+02, -1.223386697373690026e+02, 2.246338941669057476e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.590000000000000036e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.800000000000000000e+01, 5.000000000000000000e+01, 1.511883870062674475e+02, -1.226500558742051368e+02, 2.146166886793769280e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.560999999999999943e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.900000000000000000e+01, 5.000000000000000000e+01, 1.486980122577365648e+02, -1.158223030125852517e+02, 1.712429075484868690e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.616000000000000014e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.000000000000000000e+01, 5.000000000000000000e+01, 1.498752803206784279e+02, -1.163950397261380090e+02, 1.651975940545957755e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.590000000000000036e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.100000000000000000e+01, 5.000000000000000711e+01, 1.491508076665603255e+02, -1.134083001277355720e+02, 1.425749246117525182e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.605999999999999872e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.200000000000000000e+01, 5.000000000000000000e+01, 1.475207441947946450e+02, -1.089187945407462621e+02, 1.139805034595161715e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.642000000000000171e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.300000000000000000e+01, 5.000000000000000000e+01, 1.478377009809713059e+02, -1.084121608498146401e+02, 1.057445986884333422e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.635000000000000142e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.400000000000000000e+01, 5.000000000000000000e+01, 1.485621736350894082e+02, -1.087610670012873300e+02, 1.019889336619792175e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.619000000000000128e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.500000000000000000e+01, 5.000000000000000000e+01, 1.460717988865585255e+02, -1.030298331285695213e+02, 6.958034242010999293e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.673999999999999844e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.600000000000000000e+01, 5.000000000000000000e+01, 1.483810554715598755e+02, -1.067461032976416391e+02, 8.365047826081763560e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.623000000000000043e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.700000000000000000e+01, 5.000000000000000000e+01, 1.454831648550875229e+02, -1.004180516936215781e+02, 4.934886838534053410e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.687000000000000099e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.800000000000000000e+01, 5.000000000000000000e+01, 1.456190034777346796e+02, -1.001960542887521086e+02, 4.577050811017428167e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.683999999999999986e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.900000000000000000e+01, 5.000000000000000000e+01, 1.448945308236166056e+02, -9.837203046593339195e+01, 3.477499642316787209e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.700000000000000000e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.000000000000000000e+01, 5.000000000000000000e+01, 1.448945308236166056e+02, -9.803346876849819580e+01, 3.138937944881590170e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.700000000000000000e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.100000000000000000e+01, 5.000000000000000000e+01, 1.444417354147927881e+02, -9.686636103637154349e+01, 2.424625621578754497e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.710000000000000142e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.200000000000000000e+01, 4.999999999999999289e+01, 1.437172627606747142e+02, -9.525189258398935976e+01, 1.534629823314640262e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.726000000000000156e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.300000000000000000e+01, 4.999999999999999289e+01, 1.433097468927333011e+02, -9.432712751865035727e+01, 1.017380625917050807e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.735000000000000142e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.400000000000000000e+01, 5.000000000000000711e+01, 1.452114876097932665e+02, -9.784640973535809394e+01, 2.634922125564833184e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.692999999999999972e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.500000000000000000e+01, 5.000000000000000000e+01, 1.414080061756733357e+02, -9.035321522477492806e+01, -1.054790950898410351e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.776999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.600000000000000000e+01, 5.000000000000000000e+01, 1.418155220436147488e+02, -9.123126423552005804e+01, -5.842578080946894126e-01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.767999999999999972e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.700000000000000000e+01, 5.000000000000000711e+01, 1.418155220436147488e+02, -9.128814628745220716e+01, -5.273757561625368462e-01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.767999999999999972e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.800000000000000000e+01, 5.000000000000000000e+01, 1.414080061756733357e+02, -9.056413353869534433e+01, -8.438726369779916414e-01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.776999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.900000000000000000e+01, 4.999999999999999289e+01, 1.405024153580257291e+02, -8.892327580784899510e+01, -1.579139550176739348e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.796999999999999886e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.000000000000000000e+01, 5.000000000000000000e+01, 1.403665767353786009e+02, -8.881856505600595142e+01, -1.548011679372647498e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.800000000000000000e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.100000000000000000e+01, 4.999999999999999289e+01, 1.402307381127314443e+02, -8.871082376329705710e+01, -1.519914349434393408e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.803000000000000114e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.200000000000000000e+01, 5.000000000000000000e+01, 1.415438447983204924e+02, -9.135717147262489846e+01, -1.866733256955912523e-01, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.773999999999999844e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.300000000000000000e+01, 5.000000000000000000e+01, 1.357027840244934112e+02, -8.026189682599957109e+01, -5.440887198493837396e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.903000000000000114e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.400000000000000000e+01, 4.999999999999999289e+01, 1.389176314271424246e+02, -8.690831395749671628e+01, -2.009317469645712340e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.832000000000000028e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.500000000000000000e+01, 5.000000000000000711e+01, 1.381931587730243223e+02, -8.572552442781767468e+01, -2.467634345206642266e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.848000000000000043e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.600000000000000000e+01, 5.000000000000000000e+01, 1.386459541818481398e+02, -8.682727552167624196e+01, -1.818678660171895833e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.837999999999999901e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.700000000000000000e+01, 4.999999999999999289e+01, 1.371517293327295874e+02, -8.416136280429046224e+01, -2.990366528439132310e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.871000000000000085e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.800000000000000000e+01, 5.000000000000000000e+01, 1.370158907100824592e+02, -8.419404599935479894e+01, -2.821844710727658967e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.873999999999999844e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.900000000000000000e+01, 5.000000000000000000e+01, 1.360197408106700721e+02, -8.257345773725539573e+01, -3.446283073414679876e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.896000000000000085e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.000000000000000000e+01, 5.000000000000000000e+01, 1.376045247415534050e+02, -8.592425705101140920e+01, -1.680267690541997316e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.860999999999999943e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.100000000000000000e+01, 4.999999999999999289e+01, 1.352499886156696220e+02, -8.160800440223799512e+01, -3.641984213431633144e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.912999999999999901e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.200000000000000000e+01, 5.000000000000000711e+01, 1.371517293327295874e+02, -8.558091210600078114e+01, -1.570817226728801197e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.871000000000000085e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.300000000000000000e+01, 5.000000000000000000e+01, 1.348424727477282090e+02, -8.134015436690816614e+01, -3.502318380820045096e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.921999999999999886e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.400000000000000000e+01, 5.000000000000000000e+01, 1.339368819300806024e+02, -7.995811705192096497e+01, -3.978764878159639196e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.942000000000000171e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.500000000000000000e+01, 5.000000000000000000e+01, 1.332124092759625285e+02, -7.896706857938600876e+01, -4.245340696576519690e+00, 0.000000000000000000e+00, 4.900000000000000000e+01, 1.957999999999999829e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
