t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
0.000000000000000000e+00, 4.999999999999998579e+01, 1.065427596962405943e+02, -1.527127512307689017e+02, 9.616999153452829319e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 2.546999999999999886e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.000000000000000000e+00, 4.999999999999998579e+01, 1.068144369415348649e+02, -1.438667574987860576e+02, 8.705232055725117846e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 2.541000000000000014e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.000000000000000000e+00, 4.999999999999998579e+01, 1.082633822497710270e+02, -1.381483600121715085e+02, 7.988497776240046733e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 2.508999999999999986e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.000000000000000000e+00, 5.000000000000000000e+01, 1.070861141868291355e+02, -1.281310148171450578e+02, 7.104490063031592229e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 2.535000000000000142e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.000000000000000000e+00, 5.000000000000000000e+01, 1.078558663818296139e+02, -1.226788029563687275e+02, 6.482293657453911351e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 2.517999999999999972e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.000000000000000000e+00, 5.000000000000000000e+01, 1.094406503127129184e+02, -1.193830615759640921e+02, 5.994241126325117364e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 2.482999999999999829e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.000000000000000000e+00, 4.999999999999999289e+01, 1.088520162812419727e+02, -1.124272406343238799e+02, 5.357522435308190012e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 2.496000000000000085e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.000000000000000000e+00, 5.000000000000000711e+01, 1.079917050044767564e+02, -1.055744103778542069e+02, 4.758270537337745765e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 2.514999999999999858e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
8.000000000000000000e+00, 5.000000000000000000e+01, 1.081275436271238846e+02, -1.012003153970823490e+02, 4.307277176995846446e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 2.512000000000000099e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
9.000000000000000000e+00, 5.000000000000000000e+01, 1.081275436271238846e+02, -9.700684531121324028e+01, 3.887930168408935572e+01, 0.000000000000000000e+00, 4.900000000000000000e+01, 2.512000000000000099e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
